Data Time,Data Value
02-07-2024 14:00,438.76
02-07-2024 14:30,438.77
02-07-2024 15:15,438.77
02-07-2024 16:15,438.76
02-07-2024 17:00,438.77
02-07-2024 17:30,438.77
02-07-2024 18:00,438.77
02-07-2024 18:45,438.78
02-07-2024 19:30,438.79
02-07-2024 20:30,438.78
02-07-2024 22:15,438.79
02-07-2024 23:45,438.79
03-07-2024 00:45,438.79
03-07-2024 01:30,438.79
03-07-2024 02:15,438.79
03-07-2024 02:30,438.79
03-07-2024 03:30,438.79
03-07-2024 04:30,438.79
03-07-2024 05:45,438.78
03-07-2024 06:30,438.78
03-07-2024 07:15,438.79
03-07-2024 07:30,438.79
03-07-2024 08:30,438.77
03-07-2024 09:45,438.77
03-07-2024 10:00,438.76
03-07-2024 10:30,438.77
03-07-2024 11:15,438.77
03-07-2024 11:30,438.77
03-07-2024 12:30,438.77
03-07-2024 13:30,438.77
03-07-2024 13:45,438.77
03-07-2024 15:00,438.77
03-07-2024 15:45,438.77
03-07-2024 16:30,438.77
03-07-2024 17:00,438.77
03-07-2024 17:45,438.76
03-07-2024 18:30,438.77
03-07-2024 19:30,438.76
03-07-2024 20:15,438.76
03-07-2024 21:00,438.77
03-07-2024 21:45,438.77
03-07-2024 22:15,438.78
03-07-2024 23:00,438.77
03-07-2024 23:30,438.77
04-07-2024 00:00,438.77
04-07-2024 00:30,438.77
04-07-2024 01:30,438.78
04-07-2024 02:30,438.77
04-07-2024 03:00,438.78
04-07-2024 03:30,438.78
04-07-2024 04:15,438.77
04-07-2024 05:30,438.77
04-07-2024 06:00,438.77
04-07-2024 06:30,438.77
04-07-2024 07:00,438.77
04-07-2024 07:15,438.77
04-07-2024 08:00,438.76
04-07-2024 08:15,438.76
04-07-2024 08:45,438.76
04-07-2024 11:00,438.76
04-07-2024 11:30,438.76
04-07-2024 13:15,438.76
